id,kode_provinsi,nama_provinsi,lokasi_akses,jumlah_pengguna,satuan,tahun
210,32,JAWA BARAT,PORTLAND,11,USER,2022
211,32,JAWA BARAT,PUNGGING,11,USER,2022
212,32,JAWA BARAT,TANJUNG PANDAN,11,USER,2022
213,32,JAWA BARAT,CHUO CITY,10,USER,2022
214,32,JAWA BARAT,CISEENG,10,USER,2022
215,32,JAWA BARAT,GIANYAR,10,USER,2022
216,32,JAWA BARAT,KARANGANYAR,10,USER,2022
217,32,JAWA BARAT,PANGKAL PINANG,10,USER,2022
218,32,JAWA BARAT,PLUMBON,10,USER,2022
219,32,JAWA BARAT,SUNNYVALE,10,USER,2022
220,32,JAWA BARAT,SUTOJAYAN,10,USER,2022
221,32,JAWA BARAT,WONOSOBO,10,USER,2022
222,32,JAWA BARAT,AL AIN,9,USER,2022
223,32,JAWA BARAT,BRNO,9,USER,2022
224,32,JAWA BARAT,FOREST CITY,9,USER,2022
225,32,JAWA BARAT,ISTANBUL,9,USER,2022
226,32,JAWA BARAT,MAGELANG,9,USER,2022
227,32,JAWA BARAT,MANOKWARI,9,USER,2022
228,32,JAWA BARAT,TENGGARONG,9,USER,2022
229,32,JAWA BARAT,BANTUL,8,USER,2022
230,32,JAWA BARAT,MELBOURNE,8,USER,2022
231,32,JAWA BARAT,MENGWI,8,USER,2022
232,32,JAWA BARAT,NAALDWIJK,8,USER,2022
233,32,JAWA BARAT,PERTH,8,USER,2022
234,32,JAWA BARAT,SAN FRANCISCO,8,USER,2022
235,32,JAWA BARAT,ABU DHABI,7,USER,2022
236,32,JAWA BARAT,BANDAR SERI BEGAWAN,7,USER,2022
237,32,JAWA BARAT,BANYUWANGI,7,USER,2022
238,32,JAWA BARAT,BONTANG,7,USER,2022
239,32,JAWA BARAT,CILILIN,7,USER,2022
240,32,JAWA BARAT,GRESIK,7,USER,2022
241,32,JAWA BARAT,GUNUNG SINDUR,7,USER,2022
242,32,JAWA BARAT,HAARLEM,7,USER,2022
243,32,JAWA BARAT,LAS VEGAS,7,USER,2022
244,32,JAWA BARAT,NAIROBI,7,USER,2022
245,32,JAWA BARAT,PALIMANAN,7,USER,2022
246,32,JAWA BARAT,PURWODADI,7,USER,2022
247,32,JAWA BARAT,SAARBRUCKEN,7,USER,2022
248,32,JAWA BARAT,TANJUNG PINANG,7,USER,2022
249,32,JAWA BARAT,BANGKALAN,6,USER,2022
250,32,JAWA BARAT,DEMAK,6,USER,2022
251,32,JAWA BARAT,DUBAI,6,USER,2022
252,32,JAWA BARAT,FRANKFURT,6,USER,2022
253,32,JAWA BARAT,GUANGZHOU,6,USER,2022
254,32,JAWA BARAT,JOHOR BAHRU,6,USER,2022
255,32,JAWA BARAT,KADEMANGAN,6,USER,2022
256,32,JAWA BARAT,KENDAL,6,USER,2022
257,32,JAWA BARAT,KOTO CITY,6,USER,2022
258,32,JAWA BARAT,NAGOYA,6,USER,2022
259,32,JAWA BARAT,PAREPARE,6,USER,2022
260,32,JAWA BARAT,SECAUCUS,6,USER,2022
261,32,JAWA BARAT,SRAGEN,6,USER,2022
262,32,JAWA BARAT,TASHKENT,6,USER,2022
263,32,JAWA BARAT,BLORA,5,USER,2022
264,32,JAWA BARAT,BOSTON,5,USER,2022
265,32,JAWA BARAT,BUSAN,5,USER,2022
266,32,JAWA BARAT,CHICAGO,5,USER,2022
267,32,JAWA BARAT,HELSINKI,5,USER,2022
268,32,JAWA BARAT,ITAMI,5,USER,2022
269,32,JAWA BARAT,KALIWUNGU,5,USER,2022
270,32,JAWA BARAT,KEMBANG,5,USER,2022
271,32,JAWA BARAT,KLANGENAN,5,USER,2022
272,32,JAWA BARAT,KLAPANUNGGAL,5,USER,2022
273,32,JAWA BARAT,LAMONGAN,5,USER,2022
274,32,JAWA BARAT,MINATO CITY,5,USER,2022
275,32,JAWA BARAT,MUNGKID,5,USER,2022
276,32,JAWA BARAT,NASHVILLE,5,USER,2022
277,32,JAWA BARAT,PARUNG,5,USER,2022
278,32,JAWA BARAT,PHNOM PENH,5,USER,2022
279,32,JAWA BARAT,SAPPORO,5,USER,2022
280,32,JAWA BARAT,SUNGAI PENUH,5,USER,2022
281,32,JAWA BARAT,VILNIUS,5,USER,2022
282,32,JAWA BARAT,AUCKLAND,4,USER,2022
283,32,JAWA BARAT,BATU,4,USER,2022
284,32,JAWA BARAT,BOJONEGORO,4,USER,2022
285,32,JAWA BARAT,BONDOWOSO,4,USER,2022
286,32,JAWA BARAT,BRATI,4,USER,2022
287,32,JAWA BARAT,BUTTERWORTH,4,USER,2022
288,32,JAWA BARAT,CORK,4,USER,2022
289,32,JAWA BARAT,DOHA,4,USER,2022
290,32,JAWA BARAT,DUBLIN,4,USER,2022
291,32,JAWA BARAT,HO CHI MINH CITY,4,USER,2022
292,32,JAWA BARAT,HYDERABAD,4,USER,2022
293,32,JAWA BARAT,KAJEN,4,USER,2022
294,32,JAWA BARAT,KARACHI,4,USER,2022
295,32,JAWA BARAT,KARANG TANJUNG,4,USER,2022
296,32,JAWA BARAT,KEMANG,4,USER,2022
297,32,JAWA BARAT,LEUWISADENG,4,USER,2022
298,32,JAWA BARAT,NGAWI,4,USER,2022
299,32,JAWA BARAT,PAGAR ALAM,4,USER,2022
300,32,JAWA BARAT,PATNA,4,USER,2022
301,32,JAWA BARAT,PEJAGOAN,4,USER,2022
302,32,JAWA BARAT,SANTA CLARA,4,USER,2022
303,32,JAWA BARAT,SEATTLE,4,USER,2022
304,32,JAWA BARAT,SECANG,4,USER,2022
305,32,JAWA BARAT,SEMANU,4,USER,2022
306,32,JAWA BARAT,SHINAGAWA CITY,4,USER,2022
307,32,JAWA BARAT,SHINJUKU CITY,4,USER,2022
308,32,JAWA BARAT,TORONTO,4,USER,2022
309,32,JAWA BARAT,VIENNA,4,USER,2022
310,32,JAWA BARAT,WONOGIRI,4,USER,2022
311,32,JAWA BARAT,ALTOONA,3,USER,2022
312,32,JAWA BARAT,BANGKOK,3,USER,2022
313,32,JAWA BARAT,BERGAS,3,USER,2022
314,32,JAWA BARAT,BERLIN,3,USER,2022
315,32,JAWA BARAT,BIMA,3,USER,2022
316,32,JAWA BARAT,BRISBANE,3,USER,2022
317,32,JAWA BARAT,BUKIT MERTAJAM,3,USER,2022
318,32,JAWA BARAT,CEBU CITY,3,USER,2022
319,32,JAWA BARAT,CIJERUK,3,USER,2022
320,32,JAWA BARAT,COLOMBO,3,USER,2022
321,32,JAWA BARAT,COLUMBUS,3,USER,2022
322,32,JAWA BARAT,COVENTRY,3,USER,2022
323,32,JAWA BARAT,DAKAR,3,USER,2022
324,32,JAWA BARAT,FREMONT,3,USER,2022
325,32,JAWA BARAT,HANOI,3,USER,2022
326,32,JAWA BARAT,HIALEAH GARDENS,3,USER,2022
327,32,JAWA BARAT,HOUTEN,3,USER,2022
328,32,JAWA BARAT,INDIANAPOLIS,3,USER,2022
329,32,JAWA BARAT,KEBOMAS,3,USER,2022
330,32,JAWA BARAT,KEBUMEN,3,USER,2022
331,32,JAWA BARAT,LUBUKLINGGAU,3,USER,2022
332,32,JAWA BARAT,MAKATI,3,USER,2022
333,32,JAWA BARAT,MANAMA,3,USER,2022
334,32,JAWA BARAT,MOJOSARI,3,USER,2022
335,32,JAWA BARAT,NORTH BERGEN,3,USER,2022
336,32,JAWA BARAT,OPAVA,3,USER,2022
337,32,JAWA BARAT,PARANAQUE,3,USER,2022
338,32,JAWA BARAT,PURBALINGGA,3,USER,2022
339,32,JAWA BARAT,SEREMBAN,3,USER,2022
340,32,JAWA BARAT,SHAH ALAM,3,USER,2022
341,32,JAWA BARAT,SHANGHAI,3,USER,2022
342,32,JAWA BARAT,SLAWI,3,USER,2022
343,32,JAWA BARAT,SUKOHARJO,3,USER,2022
344,32,JAWA BARAT,TAITO CITY,3,USER,2022
345,32,JAWA BARAT,TEMBILAHAN,3,USER,2022
346,32,JAWA BARAT,TRUCUK,3,USER,2022
347,32,JAWA BARAT,WASHINGTON,3,USER,2022
348,32,JAWA BARAT,WONOSARI,3,USER,2022
349,32,JAWA BARAT,AACHEN,2,USER,2022
350,32,JAWA BARAT,ADELAIDE,2,USER,2022
351,32,JAWA BARAT,ADIWERNA,2,USER,2022
352,32,JAWA BARAT,AL KHOBAR,2,USER,2022
353,32,JAWA BARAT,AMAGASAKI,2,USER,2022
354,32,JAWA BARAT,ANTIPOLO,2,USER,2022
355,32,JAWA BARAT,ATLANTA,2,USER,2022
356,32,JAWA BARAT,BAWEN,2,USER,2022
357,32,JAWA BARAT,BEIJING,2,USER,2022
358,32,JAWA BARAT,BIREUEN,2,USER,2022
359,32,JAWA BARAT,BITUNG,2,USER,2022
360,32,JAWA BARAT,BOARDMAN,2,USER,2022
361,32,JAWA BARAT,BOYDTON,2,USER,2022
362,32,JAWA BARAT,BRATISLAVA,2,USER,2022
363,32,JAWA BARAT,BUCHAREST,2,USER,2022
364,32,JAWA BARAT,BUNKYO CITY,2,USER,2022
365,32,JAWA BARAT,BURSA,2,USER,2022
366,32,JAWA BARAT,CHEYENNE,2,USER,2022
367,32,JAWA BARAT,CIMAUNG,2,USER,2022
368,32,JAWA BARAT,DAVAO CITY,2,USER,2022
369,32,JAWA BARAT,DELHI,2,USER,2022
370,32,JAWA BARAT,EAST KISARAN,2,USER,2022
371,32,JAWA BARAT,EDOGAWA CITY,2,USER,2022
372,32,JAWA BARAT,ENA,2,USER,2022
373,32,JAWA BARAT,FUKUYAMA,2,USER,2022
374,32,JAWA BARAT,GUWAHATI,2,USER,2022
375,32,JAWA BARAT,HAMAMATSU,2,USER,2022
376,32,JAWA BARAT,HAMBURG,2,USER,2022
377,32,JAWA BARAT,HOF,2,USER,2022
378,32,JAWA BARAT,HOUSTON,2,USER,2022
379,32,JAWA BARAT,IMUS,2,USER,2022
380,32,JAWA BARAT,IPOH,2,USER,2022
381,32,JAWA BARAT,ISLAMABAD,2,USER,2022
382,32,JAWA BARAT,JASINGA,2,USER,2022
383,32,JAWA BARAT,KAJANG,2,USER,2022
384,32,JAWA BARAT,KALINYAMATAN,2,USER,2022
385,32,JAWA BARAT,KALIPURO,2,USER,2022
386,32,JAWA BARAT,KARLSRUHE,2,USER,2022
387,32,JAWA BARAT,KAWASAKI,2,USER,2022
388,32,JAWA BARAT,KOLKATA,2,USER,2022
389,32,JAWA BARAT,KOTAMOBAGU,2,USER,2022
390,32,JAWA BARAT,KRETEK,2,USER,2022
391,32,JAWA BARAT,LAHAT,2,USER,2022
392,32,JAWA BARAT,MANILA,2,USER,2022
393,32,JAWA BARAT,MARSEILLE,2,USER,2022
394,32,JAWA BARAT,MEDINA,2,USER,2022
395,32,JAWA BARAT,MENALDUM,2,USER,2022
396,32,JAWA BARAT,MENLO PARK,2,USER,2022
397,32,JAWA BARAT,MERAUKE,2,USER,2022
398,32,JAWA BARAT,MORIYAMA,2,USER,2022
399,32,JAWA BARAT,MOSCOW,2,USER,2022
400,32,JAWA BARAT,MUMBAI,2,USER,2022
401,32,JAWA BARAT,MUNTILAN,2,USER,2022
402,32,JAWA BARAT,NAGASAKI,2,USER,2022
403,32,JAWA BARAT,NAMYANGJU-SI,2,USER,2022
404,32,JAWA BARAT,NARITA,2,USER,2022
405,32,JAWA BARAT,NORRKOPING,2,USER,2022
406,32,JAWA BARAT,NOVI SAD,2,USER,2022
407,32,JAWA BARAT,NYERI,2,USER,2022
408,32,JAWA BARAT,OSTRAVA,2,USER,2022
409,32,JAWA BARAT,OTA CITY,2,USER,2022
410,32,JAWA BARAT,OXFORD,2,USER,2022
411,32,JAWA BARAT,PALMA,2,USER,2022
412,32,JAWA BARAT,PALOPO,2,USER,2022
413,32,JAWA BARAT,PANDEGLANG,2,USER,2022
414,32,JAWA BARAT,PECANGAAN,2,USER,2022
415,32,JAWA BARAT,PHOENIX,2,USER,2022
416,32,JAWA BARAT,PIURA,2,USER,2022
417,32,JAWA BARAT,POTSDAM,2,USER,2022
418,32,JAWA BARAT,PRAGUE,2,USER,2022
419,32,JAWA BARAT,PRINEVILLE,2,USER,2022
420,32,JAWA BARAT,QUEZON CITY,2,USER,2022
421,32,JAWA BARAT,QUINCY,2,USER,2022
422,32,JAWA BARAT,RUMPIN,2,USER,2022
423,32,JAWA BARAT,SAN ANTONIO,2,USER,2022
424,32,JAWA BARAT,SAN DIEGO,2,USER,2022
425,32,JAWA BARAT,SANKT INGBERT,2,USER,2022
426,32,JAWA BARAT,SANTIAGO,2,USER,2022
427,32,JAWA BARAT,SETAGAYA CITY,2,USER,2022
428,32,JAWA BARAT,SEWON,2,USER,2022
429,32,JAWA BARAT,SITUBONDO,2,USER,2022
430,32,JAWA BARAT,SOEST,2,USER,2022
431,32,JAWA BARAT,SOFIA,2,USER,2022
432,32,JAWA BARAT,SUMIDA CITY,2,USER,2022
433,32,JAWA BARAT,SUNGAI PETANI,2,USER,2022
434,32,JAWA BARAT,TABANAN,2,USER,2022
435,32,JAWA BARAT,TACHIKAWA,2,USER,2022
436,32,JAWA BARAT,TAKAMATSU,2,USER,2022
437,32,JAWA BARAT,TAOYUAN DISTRICT,2,USER,2022
438,32,JAWA BARAT,TIKUNG,2,USER,2022
439,32,JAWA BARAT,TOWN AND COUNTRY,2,USER,2022
440,32,JAWA BARAT,ABIANSEMAL,1,USER,2022
441,32,JAWA BARAT,ABUJA,1,USER,2022
442,32,JAWA BARAT,ADACHI CITY,1,USER,2022
443,32,JAWA BARAT,ADDIS ABABA,1,USER,2022
444,32,JAWA BARAT,AKITA,1,USER,2022
445,32,JAWA BARAT,ALBUQUERQUE,1,USER,2022
446,32,JAWA BARAT,ALISO VIEJO,1,USER,2022
447,32,JAWA BARAT,AMBARAWA,1,USER,2022
448,32,JAWA BARAT,AMLAPURA,1,USER,2022
449,32,JAWA BARAT,AMPANG JAYA,1,USER,2022
450,32,JAWA BARAT,ANANTAPUR,1,USER,2022
451,32,JAWA BARAT,ANGELES,1,USER,2022
452,32,JAWA BARAT,ANSAN-SI,1,USER,2022
453,32,JAWA BARAT,ANTALYA,1,USER,2022
454,32,JAWA BARAT,ASBESTOS,1,USER,2022
455,32,JAWA BARAT,AUSTIN,1,USER,2022
456,32,JAWA BARAT,BAKU,1,USER,2022
457,32,JAWA BARAT,BALLERUP,1,USER,2022
458,32,JAWA BARAT,BAMBANG LIPURO,1,USER,2022
459,32,JAWA BARAT,BANDIRMA,1,USER,2022
460,32,JAWA BARAT,BATU PAHAT,1,USER,2022
461,32,JAWA BARAT,BAU-BAU,1,USER,2022
462,32,JAWA BARAT,BELAGAVI,1,USER,2022
463,32,JAWA BARAT,BELGRADE,1,USER,2022
464,32,JAWA BARAT,BHUBANESWAR,1,USER,2022
465,32,JAWA BARAT,BIRMINGHAM,1,USER,2022
466,32,JAWA BARAT,BLUMENAU,1,USER,2022
467,32,JAWA BARAT,BOCHUM,1,USER,2022
468,32,JAWA BARAT,BOM DESPACHO,1,USER,2022
469,32,JAWA BARAT,BROOKFIELD,1,USER,2022
470,32,JAWA BARAT,BUENOS AIRES,1,USER,2022
471,32,JAWA BARAT,BUNSCHOTEN-SPAKENBURG,1,USER,2022
472,32,JAWA BARAT,BUTZBACH,1,USER,2022
473,32,JAWA BARAT,CAGAYAN DE ORO,1,USER,2022
474,32,JAWA BARAT,CALAMBA,1,USER,2022
475,32,JAWA BARAT,CAMBRIDGE,1,USER,2022
476,32,JAWA BARAT,CANBERRA,1,USER,2022
477,32,JAWA BARAT,CAPE TOWN,1,USER,2022
478,32,JAWA BARAT,CENTRAL COAST,1,USER,2022
479,32,JAWA BARAT,CHANGHUA CITY,1,USER,2022
480,32,JAWA BARAT,CHIAUTEMPAN,1,USER,2022
481,32,JAWA BARAT,CHICLANA DE LA FRONTERA,1,USER,2022
482,32,JAWA BARAT,CHIETI,1,USER,2022
483,32,JAWA BARAT,CLERMONT-FERRAND,1,USER,2022
484,32,JAWA BARAT,COLORADO SPRINGS,1,USER,2022
485,32,JAWA BARAT,COLUMBIA,1,USER,2022
486,32,JAWA BARAT,CURICO,1,USER,2022
487,32,JAWA BARAT,DA NANG,1,USER,2022
488,32,JAWA BARAT,DAEGU,1,USER,2022
489,32,JAWA BARAT,DAR ES SALAAM,1,USER,2022
490,32,JAWA BARAT,DAVENTRY,1,USER,2022
491,32,JAWA BARAT,DELFT,1,USER,2022
492,32,JAWA BARAT,DES MOINES,1,USER,2022
493,32,JAWA BARAT,DORAL,1,USER,2022
494,32,JAWA BARAT,DOULIU CITY,1,USER,2022
495,32,JAWA BARAT,DUBENDORF,1,USER,2022
496,32,JAWA BARAT,DUMAGUETE,1,USER,2022
497,32,JAWA BARAT,ECATEPEC,1,USER,2022
498,32,JAWA BARAT,EDINBURGH,1,USER,2022
499,32,JAWA BARAT,EDMONTON,1,USER,2022
500,32,JAWA BARAT,EERSEL,1,USER,2022
501,32,JAWA BARAT,ENSCHEDE,1,USER,2022
502,32,JAWA BARAT,EPSOM,1,USER,2022
503,32,JAWA BARAT,FALL RIVER,1,USER,2022
504,32,JAWA BARAT,FARMINGTON HILLS,1,USER,2022
505,32,JAWA BARAT,FUJI,1,USER,2022
506,32,JAWA BARAT,FUKAYA,1,USER,2022
507,32,JAWA BARAT,GLASGOW,1,USER,2022
508,32,JAWA BARAT,GOTHENBURG,1,USER,2022
509,32,JAWA BARAT,GROTON,1,USER,2022
510,32,JAWA BARAT,GUNUNGSITOLI,1,USER,2022
511,32,JAWA BARAT,GURGAON,1,USER,2022
512,32,JAWA BARAT,GWANGJU,1,USER,2022
513,32,JAWA BARAT,GYEONGJU-SI,1,USER,2022
514,32,JAWA BARAT,GYEONGSAN-SI,1,USER,2022
515,32,JAWA BARAT,GYUMRI,1,USER,2022
516,32,JAWA BARAT,HACHIOJI,1,USER,2022
517,32,JAWA BARAT,HAMADA,1,USER,2022
518,32,JAWA BARAT,HASHIMOTO,1,USER,2022
519,32,JAWA BARAT,HIGASHIHIROSHIMA,1,USER,2022
520,32,JAWA BARAT,HIGASHIMURAYAMA,1,USER,2022
521,32,JAWA BARAT,HOOGVLIET ROTTERDAM,1,USER,2022
522,32,JAWA BARAT,HUARAZ,1,USER,2022
523,32,JAWA BARAT,HUBLI,1,USER,2022
524,32,JAWA BARAT,HUNTINGTON BEACH,1,USER,2022
525,32,JAWA BARAT,HWASEONG-SI,1,USER,2022
526,32,JAWA BARAT,ICHEON-SI,1,USER,2022
527,32,JAWA BARAT,ILIGAN CITY,1,USER,2022
528,32,JAWA BARAT,INCHEON,1,USER,2022
529,32,JAWA BARAT,INDORE,1,USER,2022
530,32,JAWA BARAT,INGOLSTADT,1,USER,2022
531,32,JAWA BARAT,INTERLAKEN,1,USER,2022
532,32,JAWA BARAT,IRVINE,1,USER,2022
533,32,JAWA BARAT,IZMIR,1,USER,2022
534,32,JAWA BARAT,JAIPUR,1,USER,2022
535,32,JAWA BARAT,JINJU-SI,1,USER,2022
536,32,JAWA BARAT,JOAO PESSOA,1,USER,2022
537,32,JAWA BARAT,JODHPUR,1,USER,2022
538,32,JAWA BARAT,JUAREZ,1,USER,2022
539,32,JAWA BARAT,KABANJAHE,1,USER,2022
540,32,JAWA BARAT,KAMPALA,1,USER,2022
541,32,JAWA BARAT,KARANG BARU,1,USER,2022
542,32,JAWA BARAT,KATHMANDU,1,USER,2022
543,32,JAWA BARAT,KATSUSHIKA CITY,1,USER,2022
544,32,JAWA BARAT,KAWAGUCHI,1,USER,2022
545,32,JAWA BARAT,KEPALA BATAS,1,USER,2022
546,32,JAWA BARAT,KIGALI,1,USER,2022
547,32,JAWA BARAT,KOCHI,1,USER,2022
548,32,JAWA BARAT,KOFU,1,USER,2022
549,32,JAWA BARAT,KOKUBUNJI,1,USER,2022
550,32,JAWA BARAT,KOLAR GOLD FIELDS,1,USER,2022
